from_code,from_label,to_code,to_label,count,avg_time_in_source_years,median_time_in_source_years,pct_university,transition_probability,from_isco,to_isco,mobility_direction
4412.2,postman/postwoman,9333.4,mover,2881,,,,0.1931,4,9,downward
9333.4,mover,8142.3,compression moulding machine operator,2777,,,,0.0286,9,8,upward
9333.4,mover,4412.2,postman/postwoman,2632,,,,0.0271,9,4,upward
9333.4,mover,5223.4,sales assistant,2603,,,,0.0268,9,5,upward
8142.3,compression moulding machine operator,9333.4,mover,2595,,,,0.1764,8,9,downward
9111.1,domestic cleaner,5223.4,sales assistant,2441,,,,0.0386,9,5,upward
9214.1,garden labourer,9333.4,mover,2351,,,,0.1504,9,9,lateral
9111.1,domestic cleaner,9313.1,building construction worker,2335,,,,0.0369,9,9,lateral
9333.4,mover,9214.1,garden labourer,2328,,,,0.024,9,9,lateral
5321.1,healthcare assistant,5322.1,home care aide,2245,,,,0.2438,5,5,lateral
9333.4,mover,7231.8,vehicle maintenance attendant,2234,,,,0.023,9,7,upward
5322.1,home care aide,9111.1,domestic cleaner,2231,,,,0.1241,5,9,downward
9412.2,kitchen porter,9334.1,shelf filler,2214,,,,0.0646,9,9,lateral
9334.1,shelf filler,9412.2,kitchen porter,2180,,,,0.0599,9,9,lateral
9111.1,domestic cleaner,8160.34,food production operator,2096,,,,0.0331,9,8,upward
7231.8,vehicle maintenance attendant,9333.4,mover,1987,,,,0.1679,7,9,downward
9621.2,hotel porter,9111.1,domestic cleaner,1966,,,,0.2399,9,9,lateral
5223.4,sales assistant,9333.4,mover,1959,,,,0.0665,5,9,downward
7223.4.5,metal sawing machine operator,9329.1,factory hand,1906,,,,0.0737,7,9,downward
5244.1,call centre agent,9333.4,mover,1846,,,,0.1233,5,9,downward
9214.1,garden labourer,9313.1,building construction worker,1813,,,,0.116,9,9,lateral
9329.1,factory hand,7223.4.5,metal sawing machine operator,1813,,,,0.0959,9,7,upward
5322.1,home care aide,5321.1,healthcare assistant,1807,,,,0.1005,5,5,lateral
9412.2,kitchen porter,9412.1,kitchen assistant,1759,,,,0.0513,9,9,lateral
9333.4,mover,9412.1,kitchen assistant,1751,,,,0.0181,9,9,lateral
9313.1,building construction worker,9111.1,domestic cleaner,1743,,,,0.0491,9,9,lateral
7223.4.5,metal sawing machine operator,8142.3,compression moulding machine operator,1727,,,,0.0668,7,8,downward
5414.1,security guard,9333.4,mover,1719,,,,0.1978,5,9,downward
9312.1,civil engineering worker,9313.1,building construction worker,1710,,,,0.2253,9,9,lateral
9412.1,kitchen assistant,9412.2,kitchen porter,1685,,,,0.1359,9,9,lateral
9333.4,mover,8212.3.5,printed circuit board assembler,1661,,,,0.0171,9,8,upward
9313.1,building construction worker,7231.8,vehicle maintenance attendant,1660,,,,0.0468,9,7,upward
8142.3,compression moulding machine operator,7223.4.5,metal sawing machine operator,1646,,,,0.1119,8,7,upward
8212.3.5,printed circuit board assembler,9333.4,mover,1639,,,,0.1632,8,9,downward
9313.1,building construction worker,9312.1,civil engineering worker,1600,,,,0.0451,9,9,lateral
9111.1,domestic cleaner,9329.2,wood caulker,1590,,,,0.0251,9,9,lateral
8160.34,food production operator,9111.1,domestic cleaner,1578,,,,0.0914,8,9,downward
9313.1,building construction worker,9214.1,garden labourer,1567,,,,0.0441,9,9,lateral
7231.8,vehicle maintenance attendant,9313.1,building construction worker,1558,,,,0.1317,7,9,downward
9111.1,domestic cleaner,9412.1,kitchen assistant,1556,,,,0.0246,9,9,lateral
5223.4,sales assistant,9111.1,domestic cleaner,1556,,,,0.0528,5,9,downward
9111.1,domestic cleaner,5322.1,home care aide,1539,,,,0.0243,9,5,upward
8211.5.3,motor vehicle parts assembler,9333.4,mover,1513,,,,0.1547,8,9,downward
9333.4,mover,5244.1,call centre agent,1488,,,,0.0153,9,5,upward
9329.1,factory hand,9313.1,building construction worker,1462,,,,0.0774,9,9,lateral
9333.4,mover,8211.5.3,motor vehicle parts assembler,1459,,,,0.015,9,8,upward
9412.1,kitchen assistant,9333.4,mover,1457,,,,0.1175,9,9,lateral
9329.2,wood caulker,9111.1,domestic cleaner,1436,,,,0.0785,9,9,lateral
9111.1,domestic cleaner,7223.4.5,metal sawing machine operator,1391,,,,0.022,9,7,upward
7223.4.5,metal sawing machine operator,9313.1,building construction worker,1376,,,,0.0532,7,9,downward
9313.1,building construction worker,7112.1,bricklayer,1376,,,,0.0388,9,7,upward
8332.2,cargo vehicle driver,9333.4,mover,1367,,,,0.1578,8,9,downward
9313.1,building construction worker,9329.1,factory hand,1353,,,,0.0381,9,9,lateral
7223.4.5,metal sawing machine operator,9111.1,domestic cleaner,1349,,,,0.0522,7,9,downward
9612.1,recycling worker,9333.4,mover,1343,,,,0.2477,9,9,lateral
4110.1,office clerk,9334.1,shelf filler,1340,,,,0.0782,4,9,downward
9333.4,mover,8332.2,cargo vehicle driver,1334,,,,0.0138,9,8,upward
9334.1,shelf filler,9412.1,kitchen assistant,1315,,,,0.0361,9,9,lateral
9412.2,kitchen porter,5120.1,cook,1309,,,,0.0382,9,5,upward
3343.4,management assistant,4110.1,office clerk,1295,,,,0.0773,3,4,downward
5230.1,cashier,5223.4,sales assistant,1288,,,,0.1727,5,5,lateral
9412.2,kitchen porter,5223.4,sales assistant,1286,,,,0.0375,9,5,upward
5153.1.2,house sitter,9333.4,mover,1279,,,,0.1165,5,9,downward
9412.1,kitchen assistant,9111.1,domestic cleaner,1264,,,,0.1019,9,9,lateral
5322.1,home care aide,9333.4,mover,1246,,,,0.0693,5,9,downward
9333.4,mover,9612.1,recycling worker,1246,,,,0.0129,9,9,lateral
5120.1,cook,9412.2,kitchen porter,1242,,,,0.2308,5,9,downward
5244.1,call centre agent,9334.1,shelf filler,1228,,,,0.082,5,9,downward
9313.1,building construction worker,7223.4.5,metal sawing machine operator,1227,,,,0.0346,9,7,upward
5223.4,sales assistant,5230.1,cashier,1199,,,,0.0407,5,5,lateral
9333.4,mover,9213.1,crop production worker,1190,,,,0.0123,9,9,lateral
9412.1,kitchen assistant,9334.1,shelf filler,1188,,,,0.0958,9,9,lateral
5322.1,home care aide,9334.1,shelf filler,1183,,,,0.0658,5,9,downward
5153.1.2,house sitter,9313.1,building construction worker,1164,,,,0.106,5,9,downward
7223.4.5,metal sawing machine operator,9329.2,wood caulker,1152,,,,0.0445,7,9,downward
9333.4,mover,9112.2,building cleaner,1127,,,,0.0116,9,9,lateral
9334.1,shelf filler,5244.1,call centre agent,1125,,,,0.0309,9,5,upward
5244.1,call centre agent,5223.4,sales assistant,1123,,,,0.075,5,5,lateral
9334.1,shelf filler,5230.1,cashier,1117,,,,0.0307,9,5,upward
9412.2,kitchen porter,8160.34,food production operator,1109,,,,0.0324,9,8,upward
9313.1,building construction worker,7123.2,plasterer,1109,,,,0.0312,9,7,upward
7112.1,bricklayer,9313.1,building construction worker,1108,,,,0.278,7,9,downward
9329.2,wood caulker,7223.4.5,metal sawing machine operator,1104,,,,0.0604,9,7,upward
5230.1,cashier,9334.1,shelf filler,1100,,,,0.1475,5,9,downward
9112.2,building cleaner,9333.4,mover,1094,,,,0.1073,9,9,lateral
4110.1,office clerk,9333.4,mover,1094,,,,0.0639,4,9,downward
9111.1,domestic cleaner,9214.1,garden labourer,1072,,,,0.017,9,9,lateral
8160.34,food production operator,9412.2,kitchen porter,1064,,,,0.0616,8,9,downward
9111.1,domestic cleaner,9329.1,factory hand,1059,,,,0.0167,9,9,lateral
4412.2,postman/postwoman,9111.1,domestic cleaner,1037,,,,0.0695,4,9,downward
9412.2,kitchen porter,9313.1,building construction worker,1022,,,,0.0298,9,9,lateral
7123.2,plasterer,9313.1,building construction worker,1021,,,,0.3108,7,9,downward
9313.1,building construction worker,9329.2,wood caulker,1016,,,,0.0286,9,9,lateral
9333.4,mover,5153.1.2,house sitter,1013,,,,0.0104,9,5,upward
4110.1,office clerk,5223.4,sales assistant,1005,,,,0.0587,4,5,downward
5152.2,domestic housekeeper,9111.1,domestic cleaner,1003,,,,0.2076,5,9,downward
9111.1,domestic cleaner,4412.2,postman/postwoman,1001,,,,0.0158,9,4,upward
5223.4,sales assistant,5223.7,specialised seller,998,,,,0.0339,5,5,lateral
9329.2,wood caulker,9313.1,building construction worker,982,,,,0.0537,9,9,lateral
1420.3,sales account manager,5223.4,sales assistant,981,,,,0.2168,1,5,downward
5223.4,sales assistant,5223.7.4,bakery specialised seller,977,,,,0.0332,5,5,lateral
9334.1,shelf filler,4110.1,office clerk,972,,,,0.0267,9,4,upward
3343.4,management assistant,4120.1,secretary,972,,,,0.058,3,4,downward
4110.1,office clerk,3343.4,management assistant,962,,,,0.0562,4,3,upward
9333.4,mover,4110.1,office clerk,952,,,,0.0098,9,4,upward
9329.2,wood caulker,8160.34,food production operator,948,,,,0.0518,9,8,upward
9111.1,domestic cleaner,8142.3,compression moulding machine operator,946,,,,0.015,9,8,upward
9313.1,building construction worker,9412.2,kitchen porter,945,,,,0.0266,9,9,lateral
8142.3,compression moulding machine operator,9111.1,domestic cleaner,939,,,,0.0638,8,9,downward
9333.4,mover,9312.1,civil engineering worker,937,,,,0.0097,9,9,lateral
9312.1,civil engineering worker,9333.4,mover,932,,,,0.1228,9,9,lateral
9111.1,domestic cleaner,5152.2,domestic housekeeper,932,,,,0.0147,9,5,upward
8211.5.3,motor vehicle parts assembler,7223.4.5,metal sawing machine operator,922,,,,0.0943,8,7,upward
4321.1.4,raw materials warehouse specialist,9333.4,mover,917,,,,0.324,4,9,downward
4110.1,office clerk,5244.1,call centre agent,898,,,,0.0524,4,5,downward
8160.34,food production operator,9329.2,wood caulker,896,,,,0.0519,8,9,downward
5223.4,sales assistant,9412.2,kitchen porter,888,,,,0.0301,5,9,downward
5322.1,home care aide,5223.4,sales assistant,879,,,,0.0489,5,5,lateral
9333.4,mover,5414.1,security guard,879,,,,0.0091,9,5,upward
5223.4,sales assistant,5244.1,call centre agent,871,,,,0.0296,5,5,lateral
9214.1,garden labourer,9111.1,domestic cleaner,867,,,,0.0555,9,9,lateral
9329.1,factory hand,9111.1,domestic cleaner,866,,,,0.0458,9,9,lateral
5321.1,healthcare assistant,9111.1,domestic cleaner,859,,,,0.0933,5,9,downward
4321.1,inventory coordinator,9333.4,mover,859,,,,0.3067,4,9,downward
9334.1,shelf filler,5322.1,home care aide,848,,,,0.0233,9,5,upward
7223.4.5,metal sawing machine operator,8211.5.3,motor vehicle parts assembler,846,,,,0.0327,7,8,downward
9111.1,domestic cleaner,5321.1,healthcare assistant,844,,,,0.0133,9,5,upward
3434.1.1,head chef,5120.1,cook,833,,,,0.6427,3,5,downward
9412.2,kitchen porter,9621.2,hotel porter,820,,,,0.0239,9,9,lateral
5322.1,home care aide,9412.2,kitchen porter,818,,,,0.0455,5,9,downward
3111.1,chemistry technician,9333.4,mover,804,,,,0.1664,3,9,downward
8142.3,compression moulding machine operator,9329.2,wood caulker,801,,,,0.0544,8,9,downward
9333.4,mover,5322.1,home care aide,801,,,,0.0083,9,5,upward
7223.4.5,metal sawing machine operator,8160.34,food production operator,794,,,,0.0307,7,8,downward
9111.1,domestic cleaner,4110.1,office clerk,789,,,,0.0125,9,4,upward
7223.4.5,metal sawing machine operator,9412.2,kitchen porter,768,,,,0.0297,7,9,downward
9329.2,wood caulker,8142.3,compression moulding machine operator,767,,,,0.0419,9,8,upward
5223.7.4,bakery specialised seller,5223.4,sales assistant,765,,,,0.2513,5,5,lateral
5244.1,call centre agent,4110.1,office clerk,762,,,,0.0509,5,4,upward
9313.1,building construction worker,5153.1.2,house sitter,758,,,,0.0214,9,5,upward
4412.2,postman/postwoman,9334.1,shelf filler,758,,,,0.0508,4,9,downward
9412.2,kitchen porter,9329.2,wood caulker,755,,,,0.022,9,9,lateral
2635.3,social worker,2635.2,social pedagogue,754,,,,0.1364,2,2,lateral
9334.1,shelf filler,8160.34,food production operator,752,,,,0.0207,9,8,upward
4120.1,secretary,3343.4,management assistant,745,,,,0.2024,4,3,upward
9333.4,mover,3111.1,chemistry technician,743,,,,0.0077,9,3,upward
9329.2,wood caulker,9329.1,factory hand,742,,,,0.0406,9,9,lateral
9333.4,mover,4321.1,inventory coordinator,731,,,,0.0075,9,4,upward
9111.1,domestic cleaner,9213.1,crop production worker,715,,,,0.0113,9,9,lateral
8142.3,compression moulding machine operator,9329.1,factory hand,714,,,,0.0485,8,9,downward
9329.2,wood caulker,9412.2,kitchen porter,714,,,,0.039,9,9,lateral
9313.1,building construction worker,8160.34,food production operator,712,,,,0.0201,9,8,upward
9329.1,factory hand,9329.2,wood caulker,711,,,,0.0376,9,9,lateral
8212.3.5,printed circuit board assembler,9313.1,building construction worker,709,,,,0.0706,8,9,downward
5120.1,cook,3434.1.1,head chef,706,,,,0.1312,5,3,upward
9111.1,domestic cleaner,7231.8,vehicle maintenance attendant,704,,,,0.0111,9,7,upward
7119.1,construction scaffolder,9313.1,building construction worker,700,,,,0.3519,7,9,downward
5223.4,sales assistant,1420.3,sales account manager,698,,,,0.0237,5,1,upward
8160.34,food production operator,9313.1,building construction worker,694,,,,0.0402,8,9,downward
9334.1,shelf filler,9313.1,building construction worker,694,,,,0.0191,9,9,lateral
5223.7,specialised seller,5223.4,sales assistant,689,,,,0.1727,5,5,lateral
9333.4,mover,9621.2,hotel porter,686,,,,0.0071,9,9,lateral
9329.1,factory hand,8142.3,compression moulding machine operator,683,,,,0.0361,9,8,upward
9412.2,kitchen porter,7223.4.5,metal sawing machine operator,682,,,,0.0199,9,7,upward
6113.5,landscape gardener,9214.1,garden labourer,675,,,,0.1905,6,9,downward
3343.4,management assistant,5223.4,sales assistant,675,,,,0.0403,3,5,downward
7223.4.5,metal sawing machine operator,9334.1,shelf filler,674,,,,0.0261,7,9,downward
9214.1,garden labourer,6113.5,landscape gardener,671,,,,0.0429,9,6,upward
9313.1,building construction worker,9213.1,crop production worker,666,,,,0.0188,9,9,lateral
9213.1,crop production worker,9333.4,mover,666,,,,0.1238,9,9,lateral
9333.4,mover,9122.1,vehicle cleaner,663,,,,0.0068,9,9,lateral
9313.1,building construction worker,9334.1,shelf filler,662,,,,0.0187,9,9,lateral
3343.4,management assistant,4311.2,sales support assistant,659,,,,0.0393,3,4,downward
8160.34,food production operator,9334.1,shelf filler,658,,,,0.0381,8,9,downward
8142.3,compression moulding machine operator,8160.34,food production operator,657,,,,0.0447,8,8,lateral
9122.1,vehicle cleaner,9333.4,mover,651,,,,0.1845,9,9,lateral
9334.1,shelf filler,7223.4.5,metal sawing machine operator,649,,,,0.0178,9,7,upward
9334.1,shelf filler,4412.2,postman/postwoman,644,,,,0.0177,9,4,upward
7231.8,vehicle maintenance attendant,7223.4.5,metal sawing machine operator,641,,,,0.0542,7,7,lateral
5223.4,sales assistant,4110.1,office clerk,641,,,,0.0218,5,4,upward
9621.2,hotel porter,9412.2,kitchen porter,640,,,,0.0781,9,9,lateral
8160.34,food production operator,7223.4.5,metal sawing machine operator,638,,,,0.037,8,7,upward
4110.1,office clerk,9111.1,domestic cleaner,636,,,,0.0371,4,9,downward
7223.4.5,metal sawing machine operator,7231.8,vehicle maintenance attendant,631,,,,0.0244,7,7,lateral
9333.4,mover,4321.1.4,raw materials warehouse specialist,627,,,,0.0065,9,4,upward
3343.4,management assistant,5244.1,call centre agent,617,,,,0.0368,3,5,downward
9214.1,garden labourer,9312.1,civil engineering worker,614,,,,0.0393,9,9,lateral
2221.3,specialist nurse,5321.1,healthcare assistant,612,,,,0.2499,2,5,downward
4412.2,postman/postwoman,5223.4,sales assistant,611,,,,0.041,4,5,downward
9333.4,mover,5230.1,cashier,600,,,,0.0062,9,5,upward
9333.4,mover,5120.1,cook,600,,,,0.0062,9,5,upward
9329.1,factory hand,8160.34,food production operator,593,,,,0.0314,9,8,upward
9313.1,building construction worker,7119.1,construction scaffolder,593,,,,0.0167,9,7,upward
4412.2,postman/postwoman,9412.2,kitchen porter,589,,,,0.0395,4,9,downward
8332.2,cargo vehicle driver,9313.1,building construction worker,588,,,,0.0679,8,9,downward
9329.2,wood caulker,9334.1,shelf filler,588,,,,0.0321,9,9,lateral
2412.4,financial planner,3313.2,bookkeeper,586,,,,0.3586,2,3,downward
8142.3,compression moulding machine operator,9313.1,building construction worker,584,,,,0.0397,8,9,downward
5230.1,cashier,9333.4,mover,583,,,,0.0782,5,9,downward
9313.1,building construction worker,8212.3.5,printed circuit board assembler,577,,,,0.0163,9,8,upward
7223.4.5,metal sawing machine operator,8212.3.5,printed circuit board assembler,575,,,,0.0222,7,8,downward
9334.1,shelf filler,9329.2,wood caulker,570,,,,0.0157,9,9,lateral
9312.1,civil engineering worker,9214.1,garden labourer,568,,,,0.0748,9,9,lateral
9111.1,domestic cleaner,8211.5.3,motor vehicle parts assembler,566,,,,0.009,9,8,upward
9313.1,building construction worker,8332.2,cargo vehicle driver,562,,,,0.0158,9,8,upward
5153.1.2,house sitter,9214.1,garden labourer,560,,,,0.051,5,9,downward
3313.2,bookkeeper,2412.4,financial planner,555,,,,0.1303,3,2,upward
4412.2,postman/postwoman,9313.1,building construction worker,552,,,,0.037,4,9,downward
5321.1,healthcare assistant,9333.4,mover,552,,,,0.0599,5,9,downward
9111.1,domestic cleaner,5230.1,cashier,549,,,,0.0087,9,5,upward
8212.3.5,printed circuit board assembler,7223.4.5,metal sawing machine operator,548,,,,0.0546,8,7,upward
9111.1,domestic cleaner,5141.1,hairdresser,545,,,,0.0086,9,5,upward
8322.7,taxi driver,9333.4,mover,543,,,,0.098,8,9,downward
2635.2,social pedagogue,2635.3,social worker,542,,,,0.1631,2,2,lateral
9111.1,domestic cleaner,5153.1.2,house sitter,540,,,,0.0085,9,5,upward
4311.2,sales support assistant,3343.4,management assistant,539,,,,0.129,4,3,upward
9111.1,domestic cleaner,5244.1,call centre agent,538,,,,0.0085,9,5,upward
7543.9,product quality controller,9333.4,mover,536,,,,0.1338,7,9,downward
1219.6,project manager,3343.4,management assistant,534,,,,0.0737,1,3,downward
9334.1,shelf filler,5141.1,hairdresser,534,,,,0.0147,9,5,upward
8142.3,compression moulding machine operator,9412.2,kitchen porter,531,,,,0.0361,8,9,downward
9412.2,kitchen porter,9329.1,factory hand,529,,,,0.0154,9,9,lateral
9111.1,domestic cleaner,8212.3.5,printed circuit board assembler,529,,,,0.0084,9,8,upward
5153.1.2,house sitter,9111.1,domestic cleaner,528,,,,0.0481,5,9,downward
5244.1,call centre agent,3343.4,management assistant,527,,,,0.0352,5,3,upward
9112.2,building cleaner,9412.2,kitchen porter,526,,,,0.0516,9,9,lateral
5414.1,security guard,9111.1,domestic cleaner,525,,,,0.0604,5,9,downward
9334.1,shelf filler,9621.2,hotel porter,523,,,,0.0144,9,9,lateral
5223.4,sales assistant,3343.4,management assistant,521,,,,0.0177,5,3,upward
9313.1,building construction worker,8142.3,compression moulding machine operator,521,,,,0.0147,9,8,upward
8160.34,food production operator,9329.1,factory hand,520,,,,0.0301,8,9,downward
9412.2,kitchen porter,5322.1,home care aide,513,,,,0.015,9,5,upward
9333.4,mover,7112.1,bricklayer,506,,,,0.0052,9,7,upward
8211.5.3,motor vehicle parts assembler,9111.1,domestic cleaner,503,,,,0.0514,8,9,downward
9334.1,shelf filler,5321.1,healthcare assistant,499,,,,0.0137,9,5,upward
9334.1,shelf filler,9329.1,factory hand,498,,,,0.0137,9,9,lateral
7231.8,vehicle maintenance attendant,9329.1,factory hand,497,,,,0.042,7,9,downward
9412.2,kitchen porter,9112.2,building cleaner,496,,,,0.0145,9,9,lateral
4323.9,move coordinator,9333.4,mover,496,,,,0.2297,4,9,downward
9333.4,mover,7543.9,product quality controller,493,,,,0.0051,9,7,upward
7231.8,vehicle maintenance attendant,9111.1,domestic cleaner,489,,,,0.0413,7,9,downward
9329.1,factory hand,9412.2,kitchen porter,485,,,,0.0257,9,9,lateral
5321.1,healthcare assistant,9334.1,shelf filler,484,,,,0.0526,5,9,downward
9412.2,kitchen porter,5212.1,street food vendor,479,,,,0.014,9,5,upward
9621.2,hotel porter,9333.4,mover,475,,,,0.058,9,9,lateral
9213.1,crop production worker,9313.1,building construction worker,474,,,,0.0881,9,9,lateral
9329.1,factory hand,9334.1,shelf filler,473,,,,0.025,9,9,lateral
9214.1,garden labourer,9213.1,crop production worker,472,,,,0.0302,9,9,lateral
9333.4,mover,4323.9,move coordinator,471,,,,0.0049,9,4,upward
9412.2,kitchen porter,9214.1,garden labourer,469,,,,0.0137,9,9,lateral
5244.1,call centre agent,9111.1,domestic cleaner,468,,,,0.0313,5,9,downward
9333.4,mover,8322.7,taxi driver,468,,,,0.0048,9,8,upward
9214.1,garden labourer,9412.2,kitchen porter,465,,,,0.0298,9,9,lateral
8160.34,food production operator,8142.3,compression moulding machine operator,465,,,,0.0269,8,8,lateral
8212.3.5,printed circuit board assembler,9111.1,domestic cleaner,464,,,,0.0462,8,9,downward
9333.4,mover,5321.1,healthcare assistant,464,,,,0.0048,9,5,upward
9612.1,recycling worker,9313.1,building construction worker,459,,,,0.0847,9,9,lateral
8211.5.3,motor vehicle parts assembler,9329.1,factory hand,459,,,,0.0469,8,9,downward
9333.4,mover,7214.3,structural ironworker,457,,,,0.0047,9,7,upward
5212.1,street food vendor,9412.2,kitchen porter,456,,,,0.1637,5,9,downward
8142.3,compression moulding machine operator,9334.1,shelf filler,451,,,,0.0307,8,9,downward
3313.2,bookkeeper,3343.4,management assistant,451,,,,0.1059,3,3,lateral
9214.1,garden labourer,9329.1,factory hand,446,,,,0.0285,9,9,lateral
8211.5.3,motor vehicle parts assembler,8142.3,compression moulding machine operator,444,,,,0.0454,8,8,lateral
5322.1,home care aide,5244.1,call centre agent,443,,,,0.0246,5,5,lateral
9111.1,domestic cleaner,7533.5,sewing machinist,443,,,,0.007,9,7,upward
9214.1,garden labourer,7223.4.5,metal sawing machine operator,440,,,,0.0282,9,7,upward
5230.1,cashier,9111.1,domestic cleaner,440,,,,0.059,5,9,downward
5223.4,sales assistant,5141.1,hairdresser,438,,,,0.0149,5,5,lateral
5223.7.35,textile specialised seller,5223.4,sales assistant,437,,,,0.3082,5,5,lateral
9621.2,hotel porter,9334.1,shelf filler,436,,,,0.0532,9,9,lateral
9112.2,building cleaner,9313.1,building construction worker,431,,,,0.0423,9,9,lateral
9333.4,mover,5141.1,hairdresser,430,,,,0.0044,9,5,upward
9333.4,mover,7533.5,sewing machinist,429,,,,0.0044,9,7,upward
9329.1,factory hand,7231.8,vehicle maintenance attendant,428,,,,0.0226,9,7,upward
9333.4,mover,7522.2,cabinet maker,428,,,,0.0044,9,7,upward
2221.3,specialist nurse,5322.1,home care aide,427,,,,0.1744,2,5,downward
5223.4,sales assistant,4412.2,postman/postwoman,426,,,,0.0145,5,4,upward
5414.1,security guard,9334.1,shelf filler,426,,,,0.049,5,9,downward
9412.2,kitchen porter,4412.2,postman/postwoman,426,,,,0.0124,9,4,upward
5223.4,sales assistant,5223.7.35,textile specialised seller,425,,,,0.0144,5,5,lateral
8322.6,private chauffeur,9333.4,mover,424,,,,0.1247,8,9,downward
9313.1,building construction worker,4412.2,postman/postwoman,423,,,,0.0119,9,4,upward
5223.4,sales assistant,5322.1,home care aide,422,,,,0.0143,5,5,lateral
9334.1,shelf filler,8142.3,compression moulding machine operator,422,,,,0.0116,9,8,upward
3359.6,gaming inspector,9333.4,mover,422,,,,0.1174,3,9,downward
9214.1,garden labourer,5153.1.2,house sitter,421,,,,0.0269,9,5,upward
8212.3.5,printed circuit board assembler,9329.1,factory hand,421,,,,0.0419,8,9,downward
3343.4,management assistant,3313.2,bookkeeper,419,,,,0.025,3,3,lateral
5223.4,sales assistant,9412.1,kitchen assistant,418,,,,0.0142,5,9,downward
5322.1,home care aide,4110.1,office clerk,409,,,,0.0227,5,4,upward
9412.1,kitchen assistant,5223.4,sales assistant,405,,,,0.0327,9,5,upward
9313.1,building construction worker,9612.1,recycling worker,403,,,,0.0114,9,9,lateral
8212.3.5,printed circuit board assembler,8142.3,compression moulding machine operator,402,,,,0.04,8,8,lateral
9111.1,domestic cleaner,5120.1,cook,402,,,,0.0064,9,5,upward
1120.3,chief executive officer,1219.4,department manager,402,,,,0.0773,1,1,lateral
8160.34,food production operator,5223.4,sales assistant,402,,,,0.0233,8,5,upward
5152.2,domestic housekeeper,9412.2,kitchen porter,402,,,,0.0832,5,9,downward
9313.1,building construction worker,9112.2,building cleaner,402,,,,0.0113,9,9,lateral
9621.1,doorman/doorwoman,5223.4,sales assistant,399,,,,0.0786,9,5,upward
7223.4.5,metal sawing machine operator,9214.1,garden labourer,393,,,,0.0152,7,9,downward
7223.4.5,metal sawing machine operator,5223.4,sales assistant,392,,,,0.0152,7,5,upward
9621.1,doorman/doorwoman,3343.4,management assistant,387,,,,0.0763,9,3,upward
8142.3,compression moulding machine operator,8211.5.3,motor vehicle parts assembler,387,,,,0.0263,8,8,lateral
9329.1,factory hand,9214.1,garden labourer,385,,,,0.0204,9,9,lateral
1221.3.2.1,sales manager,2433.6,technical sales representative,384,,,,0.1502,1,2,downward
9412.2,kitchen porter,9213.1,crop production worker,383,,,,0.0112,9,9,lateral
9111.1,domestic cleaner,9612.1,recycling worker,382,,,,0.006,9,9,lateral
5153.1.2,house sitter,7112.1,bricklayer,381,,,,0.0347,5,7,downward
9333.4,mover,6113.5,landscape gardener,381,,,,0.0039,9,6,upward
9214.1,garden labourer,9329.2,wood caulker,379,,,,0.0243,9,9,lateral
9621.2,hotel porter,5223.4,sales assistant,379,,,,0.0462,9,5,upward
9412.2,kitchen porter,8142.3,compression moulding machine operator,378,,,,0.011,9,8,upward
3343.4,management assistant,9621.1,doorman/doorwoman,375,,,,0.0224,3,9,downward
